id,name,nickname,branch
1,名稱,俗名,科別
2,白帶魚,白魚,帶魚
3,南方舵魚,白毛,舵魚
4,天竺舵魚,白毛,舵魚
5,低鰭舵魚,白毛,舵魚
6,小鱗瓜子鱲,黑毛,瓜子鱲
7,黃帶瓜子鱲,黑毛,瓜子鱲
8,瓜子鱲,黑毛,瓜子鱲
9,黑棘鯛,黑鯛,鯛
10,布氏石斑魚,石斑,鮨
11,褐帶石斑魚,石斑,鮨
12,點帶石斑魚,石斑,鮨
13,斑帶石斑魚,石斑,鮨
14,橫帶石斑魚,石斑,鮨
15,霜點石斑魚,石斑,鮨
16,日本紅目大眼鯛,紅目鰱,大眼鯛
17,血斑異大眼鯛,紅目鰱,大眼鯛
18,寶石大眼鯛,紅目鰱,大眼鯛
19,大棘大眼鯛,紅目鰱,大眼鯛
20,高背大眼鯛,紅目鰱,大眼鯛
21,日本大鱗大眼鯛,紅目鰱,大眼鯛
22,後刺尾鯛,倒吊,刺尾鯛
23,巴鰹,三點仔,鯖(鮪魚)
24,斑鰭圓鱗鮋,石狗公,鮋
25,石狗公,石狗公,鮋
26,黃鰭棘鯛,黃鰭鯛,鯛
27,銀臭肚魚,臭肚,臭肚魚
28,長鰭臭肚魚,臭肚,臭肚魚
29,褐臭肚魚,臭肚,臭肚魚
30,刺臭肚魚,臭肚,臭肚魚
31,鱷形叉尾鶴鱵,青旗,鶴鱵
32,溝鰺,銅鏡,鰺
33,鱗鰭叫姑魚,春子,石首魚(宜蘭)
34,鱗鰭叫姑魚,春子,石首魚(北部)
35,鱗鰭叫姑魚,春子,石首魚(南部)
36,鱗鰭叫姑魚,春子,石首魚(中部)
37,杜氏叫姑魚,春子,石首魚(宜蘭)
38,杜氏叫姑魚,春子,石首魚(北部)
39,杜氏叫姑魚,春子,石首魚(南部)
40,杜氏叫姑魚,春子,石首魚(中部)
41,大鼻孔叫姑魚,春子,石首魚(宜蘭)
42,大鼻孔叫姑魚,春子,石首魚(北部)
43,大鼻孔叫姑魚,春子,石首魚(南部)
44,大鼻孔叫姑魚,春子,石首魚(中部)
45,黃姑魚,春子,石首魚(宜蘭)
46,黃姑魚,春子,石首魚(北部)
47,黃姑魚,春子,石首魚(南部)
48,黃姑魚,春子,石首魚(中部)
49,花身鯻,花身雞魚,鯻
50,隆頭鸚哥魚,鸚哥,鸚哥魚
51,卡羅鸚鯉,鸚哥,鸚哥魚
52,日本鸚鯉,鸚哥,鸚哥魚
53,臺灣鸚鯉,鸚哥,鸚哥魚
